ETF类型,合约月份,行权价,贴水价值,年化贴水率,剩余天数,记录日期
300ETF,2512,4.4,0.0051,0.0033,131,2025-08-15
科创板50ETF,2512,1.1,-0.0002,-0.0005,131,2025-08-15
科创板50ETF,2509,1.35,0.0037,0.0299,40,2025-08-15
科创板50ETF,2509,1.1,0.0001,0.0008,40,2025-08-15
科创板50ETF,2509,1.25,0.0026,0.021,40,2025-08-15
科创板50ETF,2603,1.2,0.0038,0.0055,222,2025-08-15
科创50ETF,2509,0.9,0.0015,0.0118,40,2025-08-15
科创50ETF,2603,1.25,0.0038,0.0054,222,2025-08-15
300ETF,2512,4.6,0.0056,0.0036,131,2025-08-15
科创50ETF,2508,1.3,0.0011,0.0289,12,2025-08-15
500ETF,2603,6.5,-0.2724,-0.0673,222,2025-08-15
科创50ETF,2508,1.25,0.001,0.0263,12,2025-08-15
500ETF,2508,5.5,-0.0021,-0.0096,12,2025-08-15
300ETF,2509,4.2,0.0059,0.0125,40,2025-08-15
50ETF,2603,3.2,0.0433,0.024,222,2025-08-15
300ETF,2509,3.423,0.0048,0.0102,40,2025-08-15
科创50ETF,2512,1.2,-0.0018,-0.0043,131,2025-08-15
科创板50ETF,2508,1.2,0.0011,0.0296,12,2025-08-15
300ETF,2509,3.618,0.0045,0.0096,40,2025-08-15
科创50ETF,2508,1.05,-0.0001,-0.0026,12,2025-08-15
科创板50ETF,2508,1.25,0.0026,0.0699,12,2025-08-15
50ETF,2508,3.1,0.0059,0.0605,12,2025-08-15
50ETF,2508,2.85,0.0056,0.0574,12,2025-08-15
科创50ETF,2512,1.25,0.0006,0.0014,131,2025-08-15
500ETF,2603,7.5,-0.2517,-0.0622,222,2025-08-15
科创板50ETF,2512,0.85,-0.0023,-0.0057,131,2025-08-15
50ETF,2509,2.9,0.0106,0.0326,40,2025-08-15
科创50ETF,2512,1.3,0.0002,0.0005,131,2025-08-15
科创50ETF,2512,1.1,-0.003,-0.0072,131,2025-08-15
科创50ETF,2512,1.05,-0.0026,-0.0063,131,2025-08-15
科创板50ETF,2603,1.3,0.0032,0.0047,222,2025-08-15
科创50ETF,2509,1.3,0.0028,0.0221,40,2025-08-15
科创50ETF,2603,0.85,-0.0044,-0.0062,222,2025-08-15
300ETF,2508,4.0,0.0035,0.0248,12,2025-08-15
300ETF,2603,4.7,0.0046,0.0018,222,2025-08-15
科创50ETF,2512,1.15,-0.0022,-0.0053,131,2025-08-15
科创50ETF,2508,1.1,0.0007,0.0184,12,2025-08-15
科创50ETF,2508,0.95,0.0027,0.0709,12,2025-08-15
50ETF,2512,2.65,0.0187,0.0176,131,2025-08-15
科创50ETF,2508,1.15,0.0014,0.0368,12,2025-08-15
科创50ETF,2509,1.25,0.003,0.0236,40,2025-08-15
科创板50ETF,2509,1.0,0.0007,0.0056,40,2025-08-15
50ETF,2512,2.5,0.0171,0.0161,131,2025-08-15
50ETF,2508,2.7,0.0044,0.0451,12,2025-08-15
300ETF,2509,4.107,0.0033,0.007,40,2025-08-15
50ETF,2508,2.65,0.0057,0.0585,12,2025-08-15
科创50ETF,2509,0.75,0.0013,0.0102,40,2025-08-15
科创50ETF,2509,1.35,0.0021,0.0165,40,2025-08-15
50ETF,2508,3.0,0.0065,0.0667,12,2025-08-15
50ETF,2508,2.75,0.0055,0.0564,12,2025-08-15
50ETF,2509,2.65,0.0097,0.0299,40,2025-08-15
50ETF,2509,2.5,0.0091,0.028,40,2025-08-15
50ETF,2509,2.6,0.0094,0.0289,40,2025-08-15
科创50ETF,2508,1.2,0.0017,0.0447,12,2025-08-15
50ETF,2509,2.7,0.0099,0.0305,40,2025-08-15
科创50ETF,2508,1.35,0.0035,0.0919,12,2025-08-15
50ETF,2509,2.75,0.0098,0.0302,40,2025-08-15
50ETF,2509,2.4,0.009,0.0277,40,2025-08-15
50ETF,2509,2.35,0.0089,0.0274,40,2025-08-15
500ETF,2512,5.25,-0.1791,-0.075,131,2025-08-15
50ETF,2512,2.7,0.0185,0.0174,131,2025-08-15
50ETF,2509,2.8,0.0101,0.0311,40,2025-08-15
300ETF,2603,4.4,0.0023,0.0009,222,2025-08-15
50ETF,2512,2.6,0.0186,0.0175,131,2025-08-15
50ETF,2512,2.9,0.0211,0.0198,131,2025-08-15
科创50ETF,2509,1.4,0.0018,0.0142,40,2025-08-15
500ETF,2509,7.5,-0.044,-0.0603,40,2025-08-15
500ETF,2512,7.25,-0.161,-0.0674,131,2025-08-15
300ETF,2509,4.009,0.0066,0.014,40,2025-08-15
500ETF,2512,7.0,-0.1614,-0.0675,131,2025-08-15
科创板50ETF,2509,1.3,0.0029,0.0234,40,2025-08-15
科创50ETF,2508,0.9,0.0028,0.0735,12,2025-08-15
科创板50ETF,2509,0.9,0.002,0.0161,40,2025-08-15
50ETF,2508,2.6,0.0056,0.0574,12,2025-08-15
科创50ETF,2508,1.0,0.0013,0.0341,12,2025-08-15
科创50ETF,2512,1.35,0.0003,0.0007,131,2025-08-15
科创板50ETF,2508,0.8,0.0026,0.0699,12,2025-08-15
300ETF,2512,3.912,0.0008,0.0005,131,2025-08-15
500ETF,2508,5.0,-0.0004,-0.0018,12,2025-08-15
300ETF,2512,3.423,-0.0024,-0.0016,131,2025-08-15
50ETF,2509,2.55,0.0084,0.0259,40,2025-08-15
科创50ETF,2512,0.95,-0.0034,-0.0082,131,2025-08-15
50ETF,2508,2.95,0.0049,0.0503,12,2025-08-15
500ETF,2508,6.0,-0.0077,-0.0352,12,2025-08-15
50ETF,2508,3.2,0.0054,0.0554,12,2025-08-15
500ETF,2508,6.25,-0.0063,-0.0288,12,2025-08-15
300ETF,2603,4.1,-0.0017,-0.0007,222,2025-08-15
科创板50ETF,2508,1.15,0.0017,0.0457,12,2025-08-15
300ETF,2512,4.303,0.0018,0.0012,131,2025-08-15
500ETF,2508,7.0,-0.0049,-0.0224,12,2025-08-15
500ETF,2508,6.75,-0.0058,-0.0265,12,2025-08-15
500ETF,2508,6.5,-0.0058,-0.0265,12,2025-08-15
300ETF,2512,4.5,0.0053,0.0034,131,2025-08-15
300ETF,2508,3.8,0.0041,0.029,12,2025-08-15
500ETF,2508,5.75,-0.0031,-0.0142,12,2025-08-15
500ETF,2508,5.25,-0.0005,-0.0023,12,2025-08-15
50ETF,2508,2.9,0.0053,0.0544,12,2025-08-15
科创50ETF,2508,0.85,0.0029,0.0762,12,2025-08-15
300ETF,2603,4.6,-0.0056,-0.0021,222,2025-08-15
300ETF,2603,4.5,0.0053,0.002,222,2025-08-15
300ETF,2509,3.227,0.0048,0.0102,40,2025-08-15
300ETF,2508,4.1,0.0034,0.0241,12,2025-08-15
300ETF,2508,3.9,0.0028,0.0198,12,2025-08-15
50ETF,2603,2.95,0.0413,0.0229,222,2025-08-15
50ETF,2512,3.2,0.0244,0.0229,131,2025-08-15
500ETF,2603,6.25,-0.2684,-0.0663,222,2025-08-15
50ETF,2512,2.95,0.0219,0.0206,131,2025-08-15
500ETF,2508,7.25,-0.0011,-0.005,12,2025-08-15
300ETF,2512,3.5,-0.0042,-0.0027,131,2025-08-15
300ETF,2512,4.3,0.0044,0.0029,131,2025-08-15
50ETF,2603,2.7,0.034,0.0189,222,2025-08-15
300ETF,2512,4.7,0.0075,0.0049,131,2025-08-15
50ETF,2603,2.85,0.0359,0.0199,222,2025-08-15
300ETF,2509,3.52,0.0051,0.0108,40,2025-08-15
300ETF,2512,4.107,0.0027,0.0018,131,2025-08-15
50ETF,2508,2.8,0.004,0.041,12,2025-08-15
300ETF,2512,4.205,0.0031,0.002,131,2025-08-15
科创板50ETF,2603,0.9,-0.002,-0.0029,222,2025-08-15
50ETF,2603,2.9,0.0375,0.0208,222,2025-08-15
科创板50ETF,2603,1.0,0.0006,0.0009,222,2025-08-15
50ETF,2509,2.95,0.0096,0.0295,40,2025-08-15
50ETF,2509,2.45,0.0091,0.028,40,2025-08-15
50ETF,2509,3.3,0.0116,0.0357,40,2025-08-15
50ETF,2603,2.8,0.0394,0.0218,222,2025-08-15
科创板50ETF,2512,0.95,-0.0017,-0.0042,131,2025-08-15
50ETF,2603,2.75,0.0318,0.0176,222,2025-08-15
300ETF,2512,4.009,0.0007,0.0005,131,2025-08-15
50ETF,2512,2.55,0.0182,0.0171,131,2025-08-15
300ETF,2512,3.7,-0.0011,-0.0007,131,2025-08-15
300ETF,2512,3.618,-0.0015,-0.001,131,2025-08-15
300ETF,2512,3.6,-0.0018,-0.0012,131,2025-08-15
500ETF,2512,5.0,-0.1805,-0.0755,131,2025-08-15
300ETF,2512,3.814,-0.0002,-0.0001,131,2025-08-15
300ETF,2512,3.716,-0.0009,-0.0006,131,2025-08-15
50ETF,2512,2.75,0.0199,0.0187,131,2025-08-15
300ETF,2509,3.7,0.0054,0.0115,40,2025-08-15
50ETF,2603,3.0,0.0425,0.0236,222,2025-08-15
300ETF,2512,4.2,0.0021,0.0014,131,2025-08-15
300ETF,2512,3.9,0.0007,0.0005,131,2025-08-15
300ETF,2509,3.227,0.0004,0.0008,41,2025-08-14
300ETF,2512,3.7,-0.0067,-0.0044,132,2025-08-14
300ETF,2512,3.618,-0.0084,-0.0055,132,2025-08-14
300ETF,2512,4.1,-0.0062,-0.004,132,2025-08-14
50ETF,2509,2.75,0.0029,0.0087,41,2025-08-14
300ETF,2509,3.6,0.0011,0.0023,41,2025-08-14
科创50ETF,2512,1.2,-0.0056,-0.0136,132,2025-08-14
科创50ETF,2512,1.25,-0.0046,-0.0111,132,2025-08-14
300ETF,2508,4.6,0.0042,0.0277,13,2025-08-14
300ETF,2512,4.3,-0.0096,-0.0062,132,2025-08-14
300ETF,2509,3.618,0.0004,0.0008,41,2025-08-14
50ETF,2508,2.85,-0.001,-0.0095,13,2025-08-14
50ETF,2508,2.9,-0.0005,-0.0048,13,2025-08-14
500ETF,2603,5.5,-0.2851,-0.0716,223,2025-08-14
300ETF,2512,3.814,-0.0068,-0.0044,132,2025-08-14
科创50ETF,2509,0.85,-0.0028,-0.0218,41,2025-08-14
50ETF,2508,2.65,0.0006,0.0057,13,2025-08-14
500ETF,2603,5.25,-0.2879,-0.0723,223,2025-08-14
300ETF,2509,3.7,0.0015,0.0031,41,2025-08-14
科创板50ETF,2603,1.3,0.0044,0.0065,223,2025-08-14
500ETF,2603,6.5,-0.275,-0.0691,223,2025-08-14
科创50ETF,2509,1.05,-0.0054,-0.0421,41,2025-08-14
50ETF,2603,2.9,0.0322,0.0178,223,2025-08-14
科创50ETF,2512,0.8,-0.0074,-0.0179,132,2025-08-14
科创50ETF,2509,1.25,-0.0034,-0.0265,41,2025-08-14
科创50ETF,2509,1.4,-0.005,-0.039,41,2025-08-14
50ETF,2508,2.7,0.0004,0.0038,13,2025-08-14
科创50ETF,2509,1.0,-0.0041,-0.032,41,2025-08-14
300ETF,2512,4.5,-0.0022,-0.0014,132,2025-08-14
科创50ETF,2509,1.2,-0.0057,-0.0444,41,2025-08-14
300ETF,2512,4.6,-0.0005,-0.0003,132,2025-08-14
50ETF,2509,2.4,0.0025,0.0075,41,2025-08-14
300ETF,2508,3.6,0.0032,0.0211,13,2025-08-14
50ETF,2509,2.45,0.0026,0.0078,41,2025-08-14
50ETF,2509,2.55,0.0025,0.0075,41,2025-08-14
50ETF,2509,2.5,0.0025,0.0075,41,2025-08-14
50ETF,2508,3.1,0.001,0.0095,13,2025-08-14
500ETF,2508,7.25,-0.0058,-0.025,13,2025-08-14
300ETF,2509,4.7,-0.0019,-0.004,41,2025-08-14
300ETF,2512,3.5,-0.0086,-0.0056,132,2025-08-14
300ETF,2512,3.52,-0.0084,-0.0055,132,2025-08-14
300ETF,2512,3.6,-0.0088,-0.0057,132,2025-08-14
科创板50ETF,2508,0.95,-0.0002,-0.005,13,2025-08-14
科创板50ETF,2508,0.8,0.0009,0.0227,13,2025-08-14
300ETF,2603,4.6,-0.0016,-0.0006,223,2025-08-14
500ETF,2509,6.75,-0.0535,-0.0731,41,2025-08-14
300ETF,2509,4.5,0.0026,0.0054,41,2025-08-14
300ETF,2509,4.4,0.0007,0.0015,41,2025-08-14
500ETF,2512,4.8,-0.1988,-0.0844,132,2025-08-14
50ETF,2512,3.3,0.0172,0.0161,132,2025-08-14
300ETF,2603,4.3,-0.0115,-0.0044,223,2025-08-14
科创50ETF,2512,1.15,-0.0049,-0.0119,132,2025-08-14
500ETF,2512,6.0,-0.1875,-0.0796,132,2025-08-14
500ETF,2508,5.25,-0.0055,-0.0237,13,2025-08-14
300ETF,2512,3.423,-0.0091,-0.0059,132,2025-08-14
300ETF,2509,4.1,0.0018,0.0038,41,2025-08-14
300ETF,2603,4.4,-0.008,-0.0031,223,2025-08-14
300ETF,2509,4.009,0.0012,0.0025,41,2025-08-14
50ETF,2509,2.8,0.0034,0.0102,41,2025-08-14
50ETF,2509,2.65,0.003,0.009,41,2025-08-14
科创50ETF,2512,1.0,-0.0067,-0.0162,132,2025-08-14
50ETF,2603,2.75,0.0271,0.015,223,2025-08-14
科创50ETF,2603,1.2,0.0002,0.0003,223,2025-08-14
300ETF,2603,3.7,-0.0174,-0.0067,223,2025-08-14
50ETF,2508,2.6,0.0002,0.0019,13,2025-08-14
300ETF,2509,3.814,0.0015,0.0031,41,2025-08-14
300ETF,2509,3.9,0.0013,0.0027,41,2025-08-14
300ETF,2509,3.912,-0.0026,-0.0054,41,2025-08-14
300ETF,2509,4.0,-0.0015,-0.0031,41,2025-08-14
500ETF,2512,5.75,-0.1793,-0.0761,132,2025-08-14
300ETF,2509,4.107,0.0011,0.0023,41,2025-08-14
300ETF,2509,4.3,0.0004,0.0008,41,2025-08-14
300ETF,2509,4.303,0.0018,0.0038,41,2025-08-14
500ETF,2512,6.5,-0.1728,-0.0734,132,2025-08-14
300ETF,2603,4.7,-0.0089,-0.0034,223,2025-08-14
500ETF,2603,5.75,-0.2755,-0.0692,223,2025-08-14
科创50ETF,2512,1.3,-0.0042,-0.0102,132,2025-08-14
300ETF,2508,3.8,0.0029,0.0191,13,2025-08-14
50ETF,2512,2.65,0.0108,0.0101,132,2025-08-14
500ETF,2508,5.0,-0.0053,-0.0228,13,2025-08-14
500ETF,2509,7.0,-0.0506,-0.0692,41,2025-08-14
50ETF,2512,2.75,0.0097,0.0091,132,2025-08-14
300ETF,2512,4.2,-0.0048,-0.0031,132,2025-08-14
300ETF,2512,4.009,-0.0064,-0.0042,132,2025-08-14
300ETF,2509,3.716,0.0014,0.0029,41,2025-08-14
300ETF,2508,4.7,0.0031,0.0205,13,2025-08-14
科创50ETF,2512,1.35,-0.0027,-0.0065,132,2025-08-14
300ETF,2508,4.1,0.0012,0.0079,13,2025-08-14
300ETF,2512,3.912,-0.0074,-0.0048,132,2025-08-14
300ETF,2509,3.325,0.0008,0.0017,41,2025-08-14
科创50ETF,2603,0.9,-0.0051,-0.0073,223,2025-08-14
300ETF,2509,3.423,0.0002,0.0004,41,2025-08-14
300ETF,2508,3.9,-0.0008,-0.0053,13,2025-08-14
50ETF,2603,2.8,0.0293,0.0162,223,2025-08-14
300ETF,2509,3.8,0.0009,0.0019,41,2025-08-14
科创50ETF,2508,0.9,-0.0005,-0.0123,13,2025-08-14
500ETF,2509,5.25,-0.0335,-0.0458,41,2025-08-14
500ETF,2509,5.75,-0.0535,-0.0731,41,2025-08-14
500ETF,2603,7.25,-0.2634,-0.0662,223,2025-08-14
500ETF,2509,7.25,-0.0495,-0.0676,41,2025-08-14
500ETF,2508,6.5,-0.016,-0.069,13,2025-08-14
500ETF,2509,6.0,-0.0613,-0.0838,41,2025-08-14
300ETF,2603,4.0,-0.0143,-0.0055,223,2025-08-14
500ETF,2509,6.5,-0.0568,-0.0776,41,2025-08-14
500ETF,2509,4.7,-0.0548,-0.0749,41,2025-08-14
500ETF,2508,6.75,-0.0148,-0.0638,13,2025-08-14
500ETF,2509,7.5,-0.0468,-0.064,41,2025-08-14
500ETF,2509,4.8,-0.0554,-0.0757,41,2025-08-14
300ETF,2509,4.6,0.0038,0.0079,41,2025-08-14
300ETF,2512,4.0,-0.0097,-0.0063,132,2025-08-14
科创板50ETF,2509,0.75,-0.0022,-0.0176,41,2025-08-14
50ETF,2509,3.1,0.0044,0.0133,41,2025-08-14
300ETF,2509,4.205,0.001,0.0021,41,2025-08-14
科创50ETF,2512,0.95,-0.0065,-0.0157,132,2025-08-14
50ETF,2508,2.75,-0.0006,-0.0057,13,2025-08-14
300ETF,2508,4.4,0.0003,0.002,13,2025-08-14
300ETF,2508,4.2,0.0,0.0,13,2025-08-14
科创50ETF,2603,1.05,-0.002,-0.0029,223,2025-08-14
科创50ETF,2603,1.1,-0.0032,-0.0046,223,2025-08-14
科创50ETF,2603,1.15,-0.0004,-0.0006,223,2025-08-14
科创50ETF,2512,1.05,-0.0056,-0.0136,132,2025-08-14
50ETF,2512,2.6,0.0113,0.0106,132,2025-08-14
300ETF,2509,3.52,0.0007,0.0015,41,2025-08-14
50ETF,2512,3.2,0.0172,0.0161,132,2025-08-14
50ETF,2603,2.95,0.0313,0.0173,223,2025-08-14
科创50ETF,2512,1.1,-0.0061,-0.0148,132,2025-08-14
50ETF,2508,3.2,0.0014,0.0133,13,2025-08-14
50ETF,2508,2.8,-0.0007,-0.0067,13,2025-08-14
科创50ETF,2509,0.75,-0.0031,-0.0242,41,2025-08-14
50ETF,2509,2.7,0.0009,0.0027,41,2025-08-14
科创50ETF,2509,1.3,-0.0027,-0.021,41,2025-08-14
50ETF,2508,2.95,-0.0007,-0.0067,13,2025-08-14
科创50ETF,2512,0.9,-0.0068,-0.0165,132,2025-08-14
50ETF,2512,2.85,0.0132,0.0124,132,2025-08-14
500ETF,2603,6.25,-0.2853,-0.0717,223,2025-08-14
500ETF,2603,6.0,-0.2915,-0.0732,223,2025-08-14
500ETF,2512,6.25,-0.1796,-0.0762,132,2025-08-14
300ETF,2512,3.9,-0.0074,-0.0048,132,2025-08-14
科创板50ETF,2512,1.2,-0.0022,-0.0055,132,2025-08-14
科创板50ETF,2509,1.1,-0.0038,-0.0304,41,2025-08-14
300ETF,2512,4.205,-0.0048,-0.0031,132,2025-08-14
科创50ETF,2509,1.35,-0.0043,-0.0335,41,2025-08-14
科创50ETF,2603,0.85,-0.0054,-0.0077,223,2025-08-14
科创板50ETF,2509,1.05,-0.0021,-0.0168,41,2025-08-14
50ETF,2509,2.9,0.0028,0.0084,41,2025-08-14
500ETF,2603,7.5,-0.258,-0.0648,223,2025-08-14
300ETF,2508,4.5,0.0038,0.0251,13,2025-08-14
科创板50ETF,2508,0.85,0.001,0.0252,13,2025-08-14
50ETF,2509,3.0,0.0031,0.0093,41,2025-08-14
科创板50ETF,2509,1.3,-0.0006,-0.0048,41,2025-08-14
科创板50ETF,2509,1.25,-0.0001,-0.0008,41,2025-08-14
50ETF,2512,2.55,0.0108,0.0101,132,2025-08-14
50ETF,2603,3.0,0.0321,0.0178,223,2025-08-14
50ETF,2509,3.2,0.0026,0.0078,41,2025-08-14
50ETF,2512,3.0,0.0149,0.0139,132,2025-08-14
500ETF,2512,4.9,-0.1857,-0.0788,132,2025-08-14
科创50ETF,2509,1.1,-0.0054,-0.0421,41,2025-08-14
科创50ETF,2508,1.0,-0.0024,-0.059,13,2025-08-14
50ETF,2512,2.95,0.0146,0.0137,132,2025-08-14
科创50ETF,2508,1.15,-0.0015,-0.0369,13,2025-08-14
科创50ETF,2508,1.2,-0.0028,-0.0688,13,2025-08-14
50ETF,2509,2.35,0.0022,0.0066,41,2025-08-14
科创板50ETF,2508,1.2,0.001,0.0252,13,2025-08-14
科创50ETF,2508,1.05,-0.0026,-0.0639,13,2025-08-14
50ETF,2603,3.3,0.0364,0.0202,223,2025-08-14
300ETF,2512,4.303,-0.0045,-0.0029,132,2025-08-14
500ETF,2603,6.75,-0.2774,-0.0697,223,2025-08-14
50ETF,2509,2.6,0.0015,0.0045,41,2025-08-14
300ETF,2509,4.2,-0.0001,-0.0002,41,2025-08-14
50ETF,2512,2.5,0.0096,0.009,132,2025-08-14
50ETF,2509,2.85,0.0011,0.0033,41,2025-08-14
科创50ETF,2512,0.85,-0.0071,-0.0172,132,2025-08-14
科创板50ETF,2508,1.0,0.0008,0.0202,13,2025-08-14
科创50ETF,2509,0.95,-0.0037,-0.0288,41,2025-08-14
科创50ETF,2508,1.3,-0.0004,-0.0098,13,2025-08-14
科创50ETF,2508,1.25,-0.0008,-0.0197,13,2025-08-14
300ETF,2512,4.4,-0.0024,-0.0016,132,2025-08-14
50ETF,2508,3.0,-0.0011,-0.0105,13,2025-08-14
科创50ETF,2603,1.25,0.0005,0.0007,223,2025-08-14
科创50ETF,2508,0.85,-0.0003,-0.0074,13,2025-08-14
科创50ETF,2508,1.1,-0.0014,-0.0344,13,2025-08-14
50ETF,2603,3.1,0.0351,0.0194,223,2025-08-14
科创板50ETF,2512,1.1,-0.0036,-0.0089,132,2025-08-14
500ETF,2512,7.25,-0.1657,-0.0703,132,2025-08-14
50ETF,2508,3.3,0.0003,0.0029,13,2025-08-14
50ETF,2603,3.2,0.0358,0.0198,223,2025-08-14
300ETF,2509,3.5,0.001,0.0021,41,2025-08-14
科创板50ETF,2603,0.85,0.0005,0.0007,223,2025-08-14
科创板50ETF,2509,0.9,-0.0025,-0.02,41,2025-08-14
500ETF,2508,6.0,-0.0156,-0.0672,13,2025-08-14
300ETF,2603,3.9,-0.015,-0.0058,223,2025-08-14
300ETF,2603,4.1,-0.0125,-0.0048,223,2025-08-14
科创板50ETF,2508,1.1,-0.0013,-0.0328,13,2025-08-14
500ETF,2512,7.5,-0.1657,-0.0703,132,2025-08-14
科创板50ETF,2512,1.3,-0.0017,-0.0042,132,2025-08-14
科创板50ETF,2512,0.85,-0.006,-0.0149,132,2025-08-14
500ETF,2509,4.9,-0.055,-0.0752,41,2025-08-14
500ETF,2509,5.0,-0.0558,-0.0763,41,2025-08-14
500ETF,2509,6.25,-0.064,-0.0875,41,2025-08-14
科创板50ETF,2509,1.2,-0.001,-0.008,41,2025-08-14
500ETF,2508,5.5,-0.0065,-0.028,13,2025-08-14
500ETF,2512,6.75,-0.1773,-0.0753,132,2025-08-14
500ETF,2508,7.0,-0.0145,-0.0625,13,2025-08-14
科创板50ETF,2509,1.0,-0.0013,-0.0104,41,2025-08-14
科创板50ETF,2509,0.95,-0.0012,-0.0096,41,2025-08-14
500ETF,2512,5.25,-0.1943,-0.0825,132,2025-08-14
科创板50ETF,2603,0.9,0.001,0.0015,223,2025-08-14
科创板50ETF,2508,1.15,-0.0011,-0.0277,13,2025-08-14
科创50ETF,2508,0.95,-0.0007,-0.0172,13,2025-08-14
科创50ETF,2509,1.15,-0.0028,-0.0218,41,2025-08-14
500ETF,2512,7.0,-0.1679,-0.0713,132,2025-08-14
300ETF,2603,3.8,-0.0165,-0.0063,223,2025-08-14
科创板50ETF,2512,0.95,-0.0046,-0.0114,132,2025-08-14
科创板50ETF,2603,1.2,0.0055,0.0081,223,2025-08-14
500ETF,2603,7.0,-0.2606,-0.0655,223,2025-08-14
科创50ETF,2603,1.3,-0.0029,-0.0042,223,2025-08-14
科创板50ETF,2603,1.25,0.0061,0.009,223,2025-08-14
500ETF,2508,7.5,-0.0022,-0.0095,13,2025-08-14
科创板50ETF,2603,1.1,0.0043,0.0063,223,2025-08-14
50ETF,2512,3.1,0.0158,0.0148,132,2025-08-14
500ETF,2508,5.75,-0.0201,-0.0866,13,2025-08-14
50ETF,2512,2.9,0.012,0.0112,132,2025-08-14
300ETF,2512,4.107,-0.0057,-0.0037,132,2025-08-14
科创板50ETF,2508,0.9,0.0008,0.0202,13,2025-08-14
500ETF,2512,5.5,-0.18,-0.0764,132,2025-08-14
50ETF,2512,2.8,0.0115,0.0108,132,2025-08-14
50ETF,2509,2.95,0.0025,0.0075,41,2025-08-14
科创板50ETF,2508,1.3,0.0018,0.0454,13,2025-08-14
科创50ETF,2509,0.8,-0.0025,-0.0195,41,2025-08-14
50ETF,2509,3.3,0.0049,0.0148,41,2025-08-14
科创50ETF,2603,0.95,-0.0141,-0.0202,223,2025-08-14
300ETF,2509,4.401,0.0025,0.0052,41,2025-08-14
500ETF,2509,5.5,-0.0546,-0.0746,41,2025-08-14
科创50ETF,2603,1.0,-0.0028,-0.004,223,2025-08-14
300ETF,2603,4.5,-0.0044,-0.0017,223,2025-08-14
300ETF,2512,4.7,0.0034,0.0022,132,2025-08-14
科创板50ETF,2508,1.25,0.0011,0.0277,13,2025-08-14
300ETF,2512,3.8,-0.0079,-0.0051,132,2025-08-14
科创50ETF,2508,1.35,0.0004,0.0098,13,2025-08-14
科创板50ETF,2509,1.35,0.0013,0.0104,41,2025-08-14
300ETF,2508,4.3,-0.0005,-0.0033,13,2025-08-14
50ETF,2512,2.7,0.0108,0.0101,132,2025-08-14
科创板50ETF,2603,0.95,0.0019,0.0028,223,2025-08-14
50ETF,2603,2.85,0.0309,0.0171,223,2025-08-14
科创板50ETF,2603,1.15,0.0046,0.0068,223,2025-08-14
科创50ETF,2509,0.9,-0.0035,-0.0273,41,2025-08-14
科创板50ETF,2509,0.8,-0.0014,-0.0112,41,2025-08-14
500ETF,2508,6.25,-0.0174,-0.075,13,2025-08-14
300ETF,2508,4.0,-0.0012,-0.0079,13,2025-08-14
科创板50ETF,2512,0.8,-0.0066,-0.0164,132,2025-08-14
科创板50ETF,2509,1.15,-0.0032,-0.0256,41,2025-08-14
科创板50ETF,2603,1.0,0.0026,0.0038,223,2025-08-14
50ETF,2603,2.7,0.0269,0.0149,223,2025-08-14
500ETF,2512,5.0,-0.1963,-0.0833,132,2025-08-14
300ETF,2603,4.2,-0.0107,-0.0041,223,2025-08-14
科创板50ETF,2603,1.05,0.0032,0.0047,223,2025-08-14
科创50ETF,2603,1.35,0.0024,0.0034,223,2025-08-14
300ETF,2508,3.7,0.0034,0.0224,13,2025-08-14
科创板50ETF,2512,1.05,-0.0045,-0.0112,132,2025-08-14
300ETF,2512,3.716,-0.0075,-0.0049,132,2025-08-14
科创板50ETF,2509,0.85,-0.0018,-0.0144,41,2025-08-14
科创板50ETF,2512,1.25,-0.002,-0.005,132,2025-08-14
科创板50ETF,2508,1.05,-0.0015,-0.0378,13,2025-08-14
科创板50ETF,2512,1.0,-0.0045,-0.0112,132,2025-08-14
科创板50ETF,2512,1.15,-0.003,-0.0075,132,2025-08-14
科创板50ETF,2512,0.9,-0.0058,-0.0144,132,2025-08-14
科创50ETF,2509,1.2,0.0018,0.0138,42,2025-08-13
300ETF,2603,4.0,-0.0238,-0.0091,224,2025-08-13
科创板50ETF,2512,1.3,0.0007,0.0017,133,2025-08-13
科创板50ETF,2512,1.25,-0.0001,-0.0002,133,2025-08-13
科创板50ETF,2512,1.2,-0.0002,-0.0005,133,2025-08-13
300ETF,2512,4.5,-0.0034,-0.0022,133,2025-08-13
50ETF,2508,2.8,0.0026,0.0231,14,2025-08-13
300ETF,2508,3.8,0.0039,0.0239,14,2025-08-13
500ETF,2508,7.0,-0.0002,-0.0008,14,2025-08-13
300ETF,2512,4.107,-0.01,-0.0064,133,2025-08-13
300ETF,2508,4.0,0.0062,0.0379,14,2025-08-13
300ETF,2509,4.2,-0.0002,-0.0004,42,2025-08-13
300ETF,2509,3.814,0.0014,0.0029,42,2025-08-13
科创板50ETF,2509,1.2,0.0008,0.0063,42,2025-08-13
300ETF,2508,4.5,0.0035,0.0214,14,2025-08-13
科创50ETF,2509,0.75,0.0016,0.0123,42,2025-08-13
50ETF,2508,3.0,0.002,0.0177,14,2025-08-13
科创板50ETF,2508,1.2,0.0011,0.0259,14,2025-08-13
300ETF,2509,4.303,0.0023,0.0047,42,2025-08-13
科创50ETF,2512,0.85,-0.0021,-0.0051,133,2025-08-13
300ETF,2508,4.3,0.0026,0.0159,14,2025-08-13
科创50ETF,2509,1.1,0.0005,0.0038,42,2025-08-13
